"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"G265_POOLRET72_S298_L002",465,2,5,1,4,2,3,4,19,0.761553992,2,0,2,21
"G266_POOLRET73_S407_L003",466,2,10,1,0,1,5,4,21,0.867845073,2,0,2,23
"G268_POOLRET72_S342_L002",468,2,7,1,3,1,2,2,16,0.711131273,2,0,2,18
"G269_POOLRET73_S573_L003",469,2,2,0,1,2,1,4,10,0.594894426,0,1,1,11
"G270_POOLRET72_S345_L002",470,2,4,0,6,5,1,5,21,0.959252082,0,1,1,22
"G271_POOLRET73_S413_L003",471,2,6,0,2,3,2,5,18,0.88022047,0,2,2,20
"G273_POOLRET73_S525_L003",473,2,8,2,6,2,1,7,26,0.833646279,1,0,1,27
"G274_POOLRET72_S271_L002",474,2,11,2,3,3,4,3,26,0.957659075,2,1,3,29
"G277_POOLRET72_S364_L002",477,2,5,3,4,0,4,4,20,0.953206427,7,1,8,28
"G279_POOLRET72_S305_L002",479,2,3,5,4,2,0,3,17,0.937390255,3,3,6,23
"G280_POOLRET73_S487_L003",480,2,7,0,2,6,1,3,19,0.882051595,2,0,2,21
"G281_POOLRET73_S422_L003",481,2,8,4,1,4,2,7,26,0.90270285,1,4,5,31
"G282_POOLRET72_S248_L002",482,2,8,0,1,1,3,6,19,0.952264994,1,1,2,21
"G283_POOLRET73_S427_L003",483,2,2,1,5,2,4,3,17,0.954836469,4,1,5,22
"G284_POOLRET73_S463_L003",484,2,5,1,3,2,0,1,12,0.951846582,4,0,4,16
"G285_POOLRET72_S325_L002",485,2,7,1,6,1,1,1,17,0.821394677,2,0,2,19
"G286_POOLRET73_S548_L003",486,2,5,0,4,2,2,5,18,0.896482615,4,0,4,22
"G287_POOLRET73_S549_L003",487,2,5,3,2,1,1,3,15,0.852438727,2,1,3,18
"G289_POOLRET73_S537_L003",489,2,5,4,0,1,0,3,13,0.812021732,2,0,2,15
"G290_POOLRET73_S426_L003",490,2,7,8,0,2,3,6,26,0.896029862,3,1,4,30
"G295_POOLRET73_S434_L003",495,2,5,1,3,1,1,11,22,0.92042989,3,1,4,26
"G296_POOLRET73_S386_L003",496,2,8,3,3,1,1,2,18,0.708326635,1,0,1,19
"G297_POOLRET72_S331_L002",497,2,3,3,1,0,2,3,12,0.941820716,1,0,1,13
"G298_POOLRET72_S306_L002",498,2,10,1,3,3,0,5,22,0.933806728,3,1,4,26
"G299_POOLRET72_S349_L002",499,2,6,2,6,6,1,3,24,0.815676823,3,0,3,27
"H7GWFDSX7_G200_POOLRET74",400,2,3,3,4,5,5,3,23,0.969513942,6,0,6,29
"H7GWFDSX7_G205_POOLRET74",405,2,4,1,2,6,1,10,24,0.975882094,6,1,7,31
"H7GWFDSX7_G207_POOLRET74",407,2,6,3,5,2,1,7,24,0.930587039,0,2,2,26
"H7GWFDSX7_G208_POOLRET74",408,2,4,0,1,2,1,4,12,0.970537142,0,1,1,13
"H7GWFDSX7_G220_POOLRET74",420,2,8,1,2,3,2,8,24,0.946096002,6,0,6,30
"H7GWFDSX7_G225_POOLRET74",425,2,7,3,0,2,0,7,19,0.95143863,4,1,5,24
"H7GWFDSX7_G228_POOLRET74",428,2,6,2,2,2,1,4,17,0.976327498,1,1,2,19
"H7GWFDSX7_G236_POOLRET74",436,2,7,2,2,0,1,7,19,0.961339145,1,4,5,24
"H7GWFDSX7_G238_POOLRET74",438,2,3,0,4,0,2,6,15,0.971760877,1,2,3,18
"H7GWFDSX7_G240_POOLRET74",440,2,6,3,3,4,1,2,19,0.913801812,4,3,7,26
"H7GWFDSX7_G243_POOLRET74",443,2,14,2,3,1,2,4,26,0.976935547,6,1,7,33
"H7GWFDSX7_G246_POOLRET74",446,2,0,0,0,0,0,1,1,0.976929045,0,0,0,1
"H7GWFDSX7_G250_POOLRET74",450,2,6,1,1,4,7,2,21,0.974346263,4,1,5,26
"H7GWFDSX7_G251_POOLRET74",451,2,5,5,2,3,2,1,18,0.809340969,3,0,3,21
"H7GWFDSX7_G256_POOLRET74",456,2,7,0,3,0,1,4,15,0.939455929,2,1,3,18
"H7GWFDSX7_G260_POOLRET74",460,2,6,1,6,1,1,8,23,0.976029372,2,2,4,27
"H7GWFDSX7_G263_POOLRET74",463,2,8,1,4,2,3,6,24,0.976506675,2,2,4,28
"H7GWFDSX7_G267_POOLRET74",467,2,6,1,2,3,2,4,18,0.84430228,2,1,3,21
"H7GWFDSX7_G272_POOLRET74",472,2,8,2,2,4,2,4,22,0.973469005,0,0,0,22
"H7GWFDSX7_G275_POOLRET74",475,2,6,0,2,0,1,2,11,0.683698052,2,1,3,14
"H7GWFDSX7_G276_POOLRET74",476,2,6,1,2,3,1,7,20,0.960460003,4,2,6,26
"H7GWFDSX7_G278_POOLRET74",478,2,8,0,2,1,0,1,12,0.972835898,3,0,3,15
"H7GWFDSX7_G288_POOLRET74",488,2,8,0,3,4,1,3,19,0.943427584,1,0,1,20
"H7GWFDSX7_G291_POOLRET74",491,2,5,1,0,3,4,3,16,0.883829115,3,2,5,21
"H7GWFDSX7_G292_POOLRET74",492,2,7,0,4,2,2,3,18,0.861027409,3,1,4,22
"H7GWFDSX7_G293_POOLRET74",493,2,3,1,2,4,1,4,15,0.972312986,5,4,9,24
"H7GWFDSX7_G294_POOLRET74",494,2,7,0,0,1,3,3,14,0.972975279,3,1,4,18
