"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"G254_POOLRET73_S447_L003",454,2,6,2,5,6,3,7,29,0.825638363,4,1,5,34
"G255_POOLRET72_S237_L002",455,2,13,5,6,5,5,14,48,0.932200219,3,2,5,53
"G257_POOLRET73_S540_L003",457,2,11,5,4,10,4,10,44,0.873491651,6,3,9,53
"G258_POOLRET73_S473_L003",458,2,12,5,3,1,0,6,27,0.568417187,6,2,8,35
"G259_POOLRET73_S428_L003",459,2,17,5,4,4,8,7,45,0.952239457,5,3,8,53
"G261_POOLRET72_S254_L002",461,2,21,2,12,7,7,10,59,0.953559715,6,4,10,69
"G262_POOLRET73_S394_L003",462,2,10,2,6,9,3,12,42,0.919012479,5,4,9,51
"G264_POOLRET73_S470_L003",464,2,14,2,12,10,7,6,51,0.952224908,14,9,23,74
"G265_POOLRET72_S298_L002",465,2,12,3,7,6,6,6,40,0.761553992,5,3,8,48
"G266_POOLRET73_S407_L003",466,2,15,3,4,2,7,10,41,0.867845073,6,2,8,49
"G268_POOLRET72_S342_L002",468,2,14,3,5,5,5,6,38,0.711131273,4,1,5,43
"G269_POOLRET73_S573_L003",469,2,6,2,5,5,1,6,25,0.594894426,0,1,1,26
"G270_POOLRET72_S345_L002",470,2,7,1,9,8,1,8,34,0.959252082,0,2,2,36
"G271_POOLRET73_S413_L003",471,2,12,2,4,5,4,7,34,0.88022047,2,3,5,39
"G273_POOLRET73_S525_L003",473,2,13,4,9,3,2,9,40,0.833646279,3,1,4,44
"G274_POOLRET72_S271_L002",474,2,16,3,5,8,6,4,42,0.957659075,4,1,5,47
"G277_POOLRET72_S364_L002",477,2,9,5,6,5,6,7,38,0.953206427,9,8,17,55
"G279_POOLRET72_S305_L002",479,2,9,10,11,3,0,6,39,0.937390255,5,4,9,48
"G280_POOLRET73_S487_L003",480,2,16,1,4,9,4,9,43,0.882051595,4,2,6,49
"G281_POOLRET73_S422_L003",481,2,11,5,3,5,3,13,40,0.90270285,4,6,10,50
"G282_POOLRET72_S248_L002",482,2,15,4,2,7,5,16,49,0.952264994,5,5,10,59
"G283_POOLRET73_S427_L003",483,2,7,2,5,4,7,6,31,0.954836469,5,3,8,39
"G284_POOLRET73_S463_L003",484,2,8,4,6,5,3,3,29,0.951846582,7,5,12,41
"G285_POOLRET72_S325_L002",485,2,18,4,7,4,7,6,46,0.821394677,12,6,18,64
"G286_POOLRET73_S548_L003",486,2,10,2,6,4,4,8,34,0.896482615,5,2,7,41
"G287_POOLRET73_S549_L003",487,2,10,5,4,3,2,4,28,0.852438727,6,2,8,36
"G289_POOLRET73_S537_L003",489,2,11,6,3,6,0,4,30,0.812021732,3,2,5,35
"G290_POOLRET73_S426_L003",490,2,14,8,6,3,4,7,42,0.896029862,5,1,6,48
"G295_POOLRET73_S434_L003",495,2,14,3,5,7,2,14,45,0.92042989,6,4,10,55
"G296_POOLRET73_S386_L003",496,2,13,3,6,3,2,3,30,0.708326635,1,2,3,33
"G297_POOLRET72_S331_L002",497,2,9,4,6,4,4,5,32,0.941820716,6,4,10,42
"G298_POOLRET72_S306_L002",498,2,17,5,8,8,4,17,59,0.933806728,9,2,11,70
"G299_POOLRET72_S349_L002",499,2,13,2,7,6,2,6,36,0.815676823,9,2,11,47
"H7GWFDSX7_G200_POOLRET74",400,2,13,4,6,7,7,10,47,0.969513942,8,2,10,57
"H7GWFDSX7_G205_POOLRET74",405,2,15,3,4,8,3,15,48,0.975882094,12,4,16,64
"H7GWFDSX7_G207_POOLRET74",407,2,13,5,10,7,3,8,46,0.930587039,7,5,12,58
"H7GWFDSX7_G208_POOLRET74",408,2,12,7,3,3,3,8,36,0.970537142,13,4,17,53
"H7GWFDSX7_G220_POOLRET74",420,2,15,5,9,8,2,14,53,0.946096002,11,1,12,65
"H7GWFDSX7_G225_POOLRET74",425,2,11,5,3,4,2,14,39,0.95143863,7,4,11,50
"H7GWFDSX7_G228_POOLRET74",428,2,11,2,3,6,1,9,32,0.976327498,5,8,13,45
"H7GWFDSX7_G236_POOLRET74",436,2,12,5,6,8,3,14,48,0.961339145,6,5,11,59
"H7GWFDSX7_G238_POOLRET74",438,2,5,4,6,2,4,13,34,0.971760877,7,3,10,44
"H7GWFDSX7_G240_POOLRET74",440,2,11,5,5,6,3,8,38,0.913801812,8,3,11,49
"H7GWFDSX7_G243_POOLRET74",443,2,18,2,6,4,2,9,41,0.976935547,8,2,10,51
"H7GWFDSX7_G246_POOLRET74",446,2,4,3,1,1,1,7,17,0.976929045,4,0,4,21
"H7GWFDSX7_G250_POOLRET74",450,2,12,2,4,9,8,6,41,0.974346263,10,4,14,55
"H7GWFDSX7_G251_POOLRET74",451,2,13,5,5,8,3,10,44,0.809340969,5,1,6,50
"H7GWFDSX7_G256_POOLRET74",456,2,10,1,4,3,1,13,32,0.939455929,7,2,9,41
"H7GWFDSX7_G260_POOLRET74",460,2,16,4,8,6,1,13,48,0.976029372,5,2,7,55
"H7GWFDSX7_G263_POOLRET74",463,2,13,2,6,6,7,11,45,0.976506675,4,4,8,53
"H7GWFDSX7_G267_POOLRET74",467,2,12,3,5,4,4,9,37,0.84430228,4,5,9,46
"H7GWFDSX7_G272_POOLRET74",472,2,11,2,2,5,2,6,28,0.973469005,1,0,1,29
"H7GWFDSX7_G275_POOLRET74",475,2,10,1,2,3,1,3,20,0.683698052,5,1,6,26
"H7GWFDSX7_G276_POOLRET74",476,2,10,3,5,7,1,14,40,0.960460003,7,3,10,50
"H7GWFDSX7_G278_POOLRET74",478,2,12,1,4,5,2,8,32,0.972835898,5,2,7,39
"H7GWFDSX7_G288_POOLRET74",488,2,15,1,3,11,5,8,43,0.943427584,4,4,8,51
"H7GWFDSX7_G291_POOLRET74",491,2,11,3,0,9,5,7,35,0.883829115,6,2,8,43
"H7GWFDSX7_G292_POOLRET74",492,2,15,1,6,3,5,5,35,0.861027409,6,4,10,45
"H7GWFDSX7_G293_POOLRET74",493,2,11,3,4,6,3,9,36,0.972312986,10,6,16,52
"H7GWFDSX7_G294_POOLRET74",494,2,16,2,0,7,4,9,38,0.972975279,6,4,10,48
