"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"G241_POOLRET73_S452_L003",2,0,1,0,1,4,8,0.975011936,5,2,7,15
"G242_POOLRET72_S286_L002",2,0,0,1,0,3,6,0.975687132,4,2,6,12
"G244_POOLRET73_S408_L003",1,0,0,3,0,9,13,0.975686903,2,4,6,19
"G245_POOLRET73_S519_L003",1,0,0,1,0,8,10,0.975292752,2,1,3,13
"G247_POOLRET73_S530_L003",0,0,0,1,0,8,9,0.974693747,3,3,6,15
"G248_POOLRET73_S387_L003",2,0,0,0,2,11,15,0.97635832,5,0,5,20
"G249_POOLRET72_S198_L002",1,1,0,1,1,12,16,0.965858432,3,0,3,19
"G252_POOLRET73_S481_L003",0,2,2,2,0,8,14,0.973632168,4,2,6,20
"G253_POOLRET73_S431_L003",1,1,1,1,2,3,9,0.973158385,3,3,6,15
"G254_POOLRET73_S447_L003",0,0,1,0,0,8,9,0.966699613,3,2,5,14
"G255_POOLRET72_S237_L002",1,0,0,0,0,9,10,0.975124883,3,0,3,13
"G257_POOLRET73_S540_L003",2,0,1,1,1,5,10,0.971795209,5,1,6,16
"G258_POOLRET73_S473_L003",3,1,1,0,1,9,15,0.943608197,6,2,8,23
"G259_POOLRET73_S428_L003",1,0,0,2,2,6,11,0.976615852,1,3,4,15
"G261_POOLRET72_S254_L002",3,0,1,1,0,6,11,0.977258412,2,3,5,16
"G262_POOLRET73_S394_L003",1,1,0,1,0,5,8,0.974310495,4,2,6,14
"G264_POOLRET73_S470_L003",1,0,1,1,1,5,9,0.977576172,6,3,9,18
"G265_POOLRET72_S298_L002",2,0,0,0,1,7,10,0.955193945,3,3,6,16
"G266_POOLRET73_S407_L003",0,0,0,0,1,10,11,0.971299887,3,1,4,15
"G268_POOLRET72_S342_L002",3,0,2,0,0,14,19,0.955343636,1,3,4,23
"G269_POOLRET73_S573_L003",0,0,1,2,1,6,10,0.948536721,2,1,3,13
"G270_POOLRET72_S345_L002",1,1,2,2,0,7,13,0.977295546,0,1,1,14
"G271_POOLRET73_S413_L003",0,0,0,0,3,4,7,0.971039224,0,2,2,9
"G273_POOLRET73_S525_L003",0,0,2,2,0,5,9,0.96986743,1,1,2,11
"G274_POOLRET72_S271_L002",2,0,0,0,3,6,11,0.976553671,0,0,0,11
"G277_POOLRET72_S364_L002",1,1,0,0,2,8,12,0.976434153,4,4,8,20
"G279_POOLRET72_S305_L002",1,1,0,1,0,5,8,0.975571005,2,3,5,13
"G280_POOLRET73_S487_L003",4,0,1,1,1,13,20,0.971517564,2,0,2,22
"G281_POOLRET73_S422_L003",0,0,0,1,0,8,9,0.97199735,1,0,1,10
"G282_POOLRET72_S248_L002",1,0,0,2,2,13,18,0.97593224,4,1,5,23
"G283_POOLRET73_S427_L003",2,0,2,1,5,9,19,0.976446557,1,2,3,22
"G284_POOLRET73_S463_L003",1,0,0,0,1,1,3,0.977079694,2,2,4,7
"G285_POOLRET72_S325_L002",2,0,0,0,3,8,13,0.967223512,7,2,9,22
"G286_POOLRET73_S548_L003",0,1,2,1,1,10,15,0.973087538,2,2,4,19
"G287_POOLRET73_S549_L003",2,0,0,2,1,10,15,0.971705157,4,1,5,20
"G289_POOLRET73_S537_L003",2,0,0,0,1,8,11,0.966218231,1,4,5,16
"G290_POOLRET73_S426_L003",0,1,1,0,1,7,10,0.972880002,3,0,3,13
"G295_POOLRET73_S434_L003",1,1,0,3,0,11,16,0.973704082,4,3,7,23
"G296_POOLRET73_S386_L003",1,0,1,2,2,5,11,0.95718581,2,2,4,15
"G297_POOLRET72_S331_L002",1,0,0,0,0,6,7,0.975721414,2,3,5,12
"G298_POOLRET72_S306_L002",1,0,1,0,0,10,12,0.975487614,3,0,3,15
"G299_POOLRET72_S349_L002",1,0,1,1,2,6,11,0.966589279,2,2,4,15
"H7GWFDSX7_G200_POOLRET74",0,0,0,1,3,7,11,0.977850776,4,1,5,16
"H7GWFDSX7_G205_POOLRET74",1,0,2,2,0,9,14,0.980276399,4,4,8,22
"H7GWFDSX7_G207_POOLRET74",0,1,1,1,1,12,16,0.97472089,4,4,8,24
"H7GWFDSX7_G208_POOLRET74",0,1,1,0,0,6,8,0.97808683,3,1,4,12
"H7GWFDSX7_G220_POOLRET74",0,1,2,1,0,9,13,0.9758207,7,2,9,22
"H7GWFDSX7_G225_POOLRET74",0,0,0,1,2,11,14,0.97716146,7,3,10,24
"H7GWFDSX7_G228_POOLRET74",1,1,0,1,0,6,9,0.980204814,3,6,9,18
"H7GWFDSX7_G236_POOLRET74",0,0,0,1,1,6,8,0.97690317,5,3,8,16
"H7GWFDSX7_G238_POOLRET74",1,1,1,1,1,13,18,0.978818903,3,1,4,22
"H7GWFDSX7_G240_POOLRET74",1,1,0,1,0,6,9,0.974696569,5,2,7,16
"H7GWFDSX7_G243_POOLRET74",0,0,0,1,1,9,11,0.980491702,5,2,7,18
"H7GWFDSX7_G246_POOLRET74",0,0,0,0,0,1,1,0.98045759,1,0,1,2
"H7GWFDSX7_G250_POOLRET74",2,0,2,2,0,6,12,0.979434021,2,1,3,15
"H7GWFDSX7_G251_POOLRET74",0,0,0,1,0,13,14,0.966519538,6,2,8,22
"H7GWFDSX7_G256_POOLRET74",1,0,0,0,1,11,13,0.975407922,2,5,7,20
"H7GWFDSX7_G260_POOLRET74",3,2,2,1,1,12,21,0.980036855,2,1,3,24
"H7GWFDSX7_G263_POOLRET74",1,0,0,4,2,10,17,0.980336865,0,4,4,21
"H7GWFDSX7_G267_POOLRET74",1,0,0,2,1,8,12,0.971931618,6,3,9,21
"H7GWFDSX7_G272_POOLRET74",0,0,0,1,0,7,8,0.979084841,1,0,1,9
"H7GWFDSX7_G275_POOLRET74",0,0,2,2,1,9,14,0.950087998,2,3,5,19
"H7GWFDSX7_G276_POOLRET74",1,1,0,0,0,9,11,0.977634106,6,2,8,19
"H7GWFDSX7_G278_POOLRET74",1,0,0,2,0,6,9,0.978988238,3,1,4,13
"H7GWFDSX7_G288_POOLRET74",2,0,1,0,2,13,18,0.97518507,4,2,6,24
"H7GWFDSX7_G291_POOLRET74",0,0,0,2,1,11,14,0.971217414,6,2,8,22
"H7GWFDSX7_G292_POOLRET74",1,0,0,0,3,7,11,0.971187749,1,4,5,16
"H7GWFDSX7_G293_POOLRET74",1,0,1,1,0,11,14,0.97861736,8,2,10,24
"H7GWFDSX7_G294_POOLRET74",1,0,1,0,1,6,9,0.979139206,3,2,5,14
