"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"H7GWFDSX7_G256_POOLRET74",3,1,1,4,1,10,20,0.975407922,7,3,10,30
"H7GWFDSX7_G260_POOLRET74",10,3,3,6,0,8,30,0.980036855,4,1,5,35
"H7GWFDSX7_G263_POOLRET74",5,1,2,4,5,10,27,0.980336865,1,3,4,31
"H7GWFDSX7_G267_POOLRET74",8,2,4,3,2,8,27,0.971931618,6,5,11,38
"H7GWFDSX7_G272_POOLRET74",2,0,0,1,0,3,6,0.979084841,2,0,2,8
"H7GWFDSX7_G275_POOLRET74",5,2,0,3,2,4,16,0.950087998,5,1,6,22
"H7GWFDSX7_G276_POOLRET74",7,2,3,5,1,9,27,0.977634106,6,1,7,34
"H7GWFDSX7_G278_POOLRET74",5,2,4,4,2,9,26,0.978988238,5,3,8,34
"H7GWFDSX7_G288_POOLRET74",9,1,0,10,4,10,34,0.97518507,5,4,9,43
"H7GWFDSX7_G291_POOLRET74",6,2,0,5,2,8,23,0.971217414,3,2,5,28
"H7GWFDSX7_G292_POOLRET74",11,1,3,2,4,4,25,0.971187749,6,5,11,36
"H7GWFDSX7_G293_POOLRET74",9,4,2,3,2,5,25,0.97861736,8,4,12,37
"H7GWFDSX7_G294_POOLRET74",9,2,1,6,1,9,28,0.979139206,3,5,8,36
